KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-01,10.4438,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-02,10.385,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-03,10.387,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-04,10.4465,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-07,10.4483,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-08,10.4433,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-09,10.4075,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-10,10.5275,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-11,10.553,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
EXR.D.SEK.EUR.SP00.A,D,SEK,EUR,SP00,A,2022-02-14,10.6158,A,F,,,P1D,,A,,,,,,,,,,4,,4F0,,Swedish krona/Euro,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)",SEK,0
